SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,241902994686,0,78222.38785519196,4793330.591717309,4304808,72425.72595160171,4781455.939262052,7.242572595160171,438,13814.92690877977,4187540.404910018,75192
1,241444694102,0,70529.24852750043,3707843.2386923796,3744406,63285.71458913426,3713945.745400601,6.328571458913426,382,10396.562238737833,4043593.396608825,75594
2,242623696771,0,73889.03502215883,5136253.476638502,4024135,67594.386773684,5113407.799055506,6.7594386773684,410,12248.035673682787,4137285.624055874,75865
3,239205098978,0,70237.47904035354,4795197.395320816,3854396,65717.66265503307,4781404.260368615,6.571766265503307,393,15352.166757348768,4169907.113339001,75604
4,242847167868,0,61783.17935186417,4917109.833652688,3454027,58143.56462940079,4898068.585859606,5.814356462940078,353,15807.385591100572,4164824.378889653,75973
5,237526266351,0,69015.24267506062,4981524.177965479,3778533,64907.54996004295,4962679.999389938,6.500333610163642,386,16358.78116058215,4175158.703785647,75779
