SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,248846822314,0,47983.95301366934,3939306.012077862,2652293,43400.19253439507,3937952.905194237,4.3400192534395075,270,1,6877.058951828201,3864161.289105654,47707
1,248345048443,0,41404.192852264125,4012224.837397737,2421222,39783.35812186588,3999012.7635571575,3.978335812186588,247,1,13517.29825718788,3437189.3771695592,48778
2,246007890572,0,39475.04173201247,4658523.422507629,2103155,34958.228290986495,4638825.757077427,3.4958228290986493,215,,5696.217604225645,3898716.0266004037,46845
3,248910950983,0,32620.071372941682,4625053.463159387,1791859,29568.807523067437,4601819.821285839,2.9568807523067435,184,1,6597.768318968649,3876922.664348078,48141
4,243101710215,0,32839.357828261076,4468300.771871847,1845202,31098.094675327087,4453787.220139998,3.109809467532709,189,2,9766.952337582565,3928236.938856608,44798
5,244951315281,0,44647.35348531904,4498483.550960872,2313879,38538.27030555336,4487541.425325615,3.8538270305553355,236,,4900.150963389456,3999473.4545474728,46121
6,243385613494,0,38907.40568864136,4386964.454419202,2204752,36978.35657086556,4375899.398963557,3.697835657086556,225,,10825.49643445448,3896964.6944369036,45248
7,250239323044,0,32184.530898324272,4028571.1385355196,1791004,29411.84427159707,4010507.82912076,2.941184427159707,184,2,7088.690522757876,3445745.845194509,48996
8,251604857221,0,47368.49648136296,4142189.5363955637,2611829,42288.53177764464,4137056.69913776,4.228853177764464,266,,6205.452068184914,3876598.8400019757,48171
9,249018277576,0,44215.990626418105,3810345.8723110883,2379971,39033.279382608656,3797735.2656626604,3.9033279382608654,243,2,5935.662837896722,3281144.3545948425,50029
