SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,209919037809,0,790039.9839183711,7914725.120291957,38022268,725234.0597069605,7865168.517673901,7252.357895146403,380602,8693.600255990723,1078704.4084741536,37841
1,209256476444,0,771634.8508748207,7408605.886156243,37284245,713430.7264317916,7394778.722586065,7134.307264317916,373225,9574.255970501534,2623188.0532521233,38255
2,208842547914,0,804904.6990542861,7709518.5887965895,38157246,731567.2477952854,7695450.886216483,7314.926510335844,381956,7980.903477063592,2733015.087389344,38346
3,209312987420,0,812508.9264833557,8410979.428373696,38227621,731266.6542418986,8393468.187490921,7312.704282668768,382661,7251.035262565302,2725995.298315024,38281
4,208799970668,0,795683.4438791833,7619372.998690247,37802278,724911.998386584,7606082.040235819,7249.138639179506,378405,8127.185047338215,2786428.2896256233,38123
5,207810322237,0,820251.1213094139,8055065.264999613,38260289,737194.141036387,8042155.977624319,7371.972059889144,382993,7318.985293083175,3119117.0062289606,38849
6,208436199763,0,832861.7940435071,8012958.406250361,39374808,756358.0615039847,8000082.349508396,7563.5806150398475,394131,7923.801296233541,3016231.3846153845,38292
7,208931624903,0,818880.3232899077,7982880.977112021,39304073,753209.1901982828,7968126.673047963,7532.109865913045,393424,9026.40889204275,2747563.506503904,38232
