SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,183810597836,0,1733868.1083477251,8546443.954193603,79615779,1732733.6059489253,8528092.502651157,17327.33605948925,796237,228692.1746740494,377639.68759028596,7921
1,184060069211,0,1673349.945255922,8596275.545382878,76911990,1671619.4953033961,8577789.331449011,16716.194953033963,769196,145972.91443800018,377304.92062013905,7610
2,178957485887,0,1818982.4298276096,9098955.668045657,81321758,1817859.6910185593,9080808.250078075,18178.59691018559,813299,253717.45778348105,434063.89738307236,8142
3,176784733458,0,1909983.916396339,8681177.610279856,84347236,1908664.8117166967,8662810.779798187,19086.64811716697,843557,242140.24050957017,392268.3054960444,8464
4,184796693480,0,1596208.7574135375,9062670.66436842,73686068,1595124.882642462,9036268.219773859,15951.253970740161,736935,205106.16563774427,300443.9300178066,7383
5,177818011261,0,1842416.8772945246,8315156.817371145,81836875,1841098.084937377,8296268.615138147,18410.98084937377,818451,226680.5314309403,351517.52734237415,8225
