SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,232268845541,0,43655.17722055571,3422063.5204612813,2275595,41241.86340052688,3273503.945425555,412.41863400526887,23948,20066.042127802593,1790042.2026794786,119205
1,231848772624,0,43411.79337766874,3930034.232002676,2238626,40695.49255411201,3780218.710773212,406.9549255411201,23588,18791.981394861323,2210499.6045669788,120174
2,232710272736,0,44575.43871068859,4617704.809956315,2325542,42062.603790183886,4406145.009403942,420.62603790183886,24471,20237.269865928272,2348076.404159295,121558
3,232546176042,0,44608.312167090895,4083093.5103444615,2302819,41681.78623693802,3918356.600330255,416.8290395532139,24233,18487.27810943868,2211794.779182738,120416
