SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,232562921215,0,133170.07736740095,3192493.8010898298,7692304,132437.27692741694,3176979.079160674,132.43727692741692,7700,20374.65762861221,542385.753437575,7696
1,232156518693,0,132396.25941093464,2936259.2620340595,7629160,131580.0743910839,2912453.9308208073,131.57705840389053,7637,18372.968223260035,319934.2745267654,7633
2,231803670992,0,133416.27755955048,3197823.657434091,7661741,132343.14999721787,3175365.307729385,132.34908229405082,7670,14641.373980874556,395974.83266402385,7666
3,232619491434,0,132204.4076173175,3086748.3726016902,7611690,131017.4990587457,3071477.686967228,131.02387577423895,7620,13137.551999654697,516703.15368202643,7616
4,230703751283,0,131841.05619356176,3238523.0616851486,7531149,130707.64490088302,3222304.4151497977,130.73349003093685,7541,13629.396606657283,536679.5114550226,7537
5,230771486394,0,133895.56160447045,3052250.0630909586,7646843,132676.59916929866,3033728.782568111,132.68098679427987,7655,13137.749031148855,429416.0428705494,7651
6,231255420912,0,133106.6053460375,2540636.2145628813,7625982,132037.76101585667,2519920.9138642033,132.04292845325728,7634,14628.993323808689,275422.43864080793,7630
7,232768164183,0,132310.52253420034,3135983.5090258555,7646653,131535.2385385875,3117757.1445625923,131.5450235392359,7655,19184.72004624869,457907.3830099304,7651
8,231194405072,0,133072.29519786863,2943213.2763510607,7618796,131948.15847943956,2931110.379952544,131.95408276763732,7627,13973.258871511594,573617.4895769402,7623
9,231371414890,0,134539.06233554715,3204391.80887342,7665331,132652.5146357936,3179654.6179527934,132.6525146357936,7673,8834.31566765973,364803.12042000453,7669
