SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,174527433973,0,1118340.6939312408,1794219.8571123402,48215301,1106154.1650229394,1778962.8895460772,1106.1694370514267,48265,93058.48989148972,187351.01128318853,48261
1,177374025673,0,1114399.3049524745,1775438.4250378998,48802685,1101661.4820494817,1759939.459815274,1101.6608931745368,48852,88703.38193279038,181034.73326266222,48848
2,179397723392,0,1093331.353795388,1725159.5186312683,48482201,1082081.2456790444,1711584.7626841576,1082.0786623625218,48531,95927.04196443717,193149.90904183424,48527
3,176604724355,0,1121586.972826013,1789905.7604167408,48931454,1109379.90314557,1774650.3064930688,1109.4162739995998,48983,93435.76672714575,186515.21535216834,48979
