SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,READ_ERRORS,READ_NULLS_PER_SEC,READ_NULLS_PER_SEC_NET,READ_NULL_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,203981935681,0,956045.9962223435,1289712.942017249,48597159,,,,,953160.9715874956,1285573.3131194527,953.1815032737669,48608,,59397.400210653555,75600.19171389475,9746
1,202541526966,0,995900.9192187999,1355473.5724768457,50232355,,,,,992239.1077546094,1350005.3944226017,992.2898014204823,50245,,51209.34784025563,63794.93197503592,10051
2,203167395345,0,995020.4306342369,1341209.7388028945,50318085,,,,,990869.6208766666,1334956.3306945113,990.8995009399417,50330,,45123.28269371994,54653.681212136355,10015
3,205070601857,0,973291.8777584578,1311362.9257492214,49704481,,,,,969704.4149637193,1305984.2209270173,969.7532182952648,49717,,50123.52976788234,60983.2945559234,9986
4,210304022866,579,756270.1166981559,947910.3550850078,38872344,579,2346.59224012118,2346.737192980566,2474,739549.8473136659,922302.5248411031,739.5712315462308,38884,4,63791.00111306623,81271.81795517095,7759
5,201367088448,0,976846.5618725499,1314602.7462225468,48982209,,,,,973187.3937811131,1309161.1979160598,973.2109123972358,48994,,49195.34049724134,60178.3483206209,9769
6,202613272445,0,1020130.872700367,1371254.166135493,51470749,,,,,1016338.3943956515,1365713.9755866998,1016.3520547914529,51482,,51257.5583999446,63634.4375068162,10163
7,205824726608,0,907433.9800477816,1192948.7085708189,46552469,,,,,904881.4059873064,1189439.199000738,904.8979847113001,46563,,59840.08120646844,75429.60144336287,9273
8,211614935531,2088,720727.4288716094,892585.6861342847,37671019,2088,2613.9073657771964,2614.4035612978864,1361,712234.6616121561,880110.0981763967,712.268976466556,37682,5,65153.654270150655,85409.02818737015,7493
9,203600789851,0,920614.1941177008,1219487.702345131,46734574,,,,,918342.8027800535,1216579.0341093398,918.378470292179,46746,,68240.46383845406,93275.07047540744,9256
