SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,READ_ERRORS,READ_NULLS_PER_SEC,READ_NULLS_PER_SEC_NET,READ_NULL_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,210385676050,0,748263.665220665,1397249.4288213972,39134708,,,,,744424.064130577,1385574.614064533,7444.249871901307,391541,,65371.25045192015,77343.37957634199,19332
1,210220282333,0,737749.415413546,1340415.8685626057,38525131,,,,,733404.5901231179,1327815.588280024,7334.04673615875,385442,,56668.59579702635,66187.69481517226,18999
2,210699222404,0,737484.4426194645,1360650.2979913177,38656128,,,,,734231.3380889966,1351273.4454894608,7342.3500392268,386757,,74880.78215302846,91570.72534838405,19365
3,210405316050,0,751630.1224828713,1388944.759335985,39279610,,,,,747111.9216524187,1375326.2661796547,7471.137171495557,392992,,56913.027563303716,66182.336768649,19470
4,210616566402,0,742217.5433453829,1374839.780740598,38857949,,,,,738354.0936812238,1363288.5770486707,7383.507614059178,388776,,64777.92838549923,76658.93598092432,19452
5,211425116118,0,713042.9130826169,1288513.6180191147,37471283,,,,,709277.6806909981,1277787.340072448,7092.779494676895,374898,,60633.11990205771,71525.48545885787,18496
6,210047529741,0,738754.8578343606,1361973.8567031836,38529650,,,,,734095.9267177808,1348345.499622656,7341.001293685125,385490,,53521.99201118239,63673.737382405125,19109
7,215225674893,226,605679.3249066906,971326.0855257467,31512813,226,2869.06461817947,2876.121497193054,4471,586046.7533100175,922596.0260853241,5860.4715484553635,315333,4,72049.15564478839,87238.57927170646,15793
8,210835789602,0,748973.0236788408,1393990.0705689,39219260,,,,,744443.9689119608,1380612.9778098287,7444.446004617226,392389,,56822.50629470972,68333.9444194001,19598
9,210627934251,0,730944.9538324435,1334138.638016245,38281666,,,,,727364.9838745102,1324001.9074062784,7273.694487788986,383011,,67502.02665332655,81906.04313099208,19180
10,211242764847,0,722514.3332208365,1347468.3185598392,37920486,,,,,718410.4417015977,1334928.6756908756,7184.131133934749,379399,,58984.04894098133,69107.2329950486,19266
11,209455404402,0,745476.2940668022,1381496.9041801768,38783114,,,,,741017.7667323917,1368025.1233222655,7410.2052507585195,388027,,57275.02128632578,66848.44374397429,19430
