SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,198617284852,0,1279855.981262752,1310646.0223994623,63550380,1279855.981262752,1310646.0223994623,1279.886605417257,63552
1,197006011267,0,1330869.0547754806,1364063.6209682242,65547301,1330869.0547754806,1364063.6209682242,1330.9023753245033,65549
2,198277763938,0,1267643.1436789548,1300440.6246231224,62836362,1267643.1436789548,1300440.6246231224,1267.6747743695214,62838
3,192429557985,0,1352547.450222217,1386567.944817355,65067527,1352547.450222217,1386567.944817355,1352.596475441481,65070
4,197514160110,0,1274804.1551034697,1306472.411931191,62947968,1274804.1551034697,1306472.411931191,1274.8431896370032,62950
5,197819602399,0,1293683.057171556,1324987.9771474288,63978967,1293683.057171556,1324987.9771474288,1293.722058350356,63981
