SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,READ_NULLS_PER_SEC,READ_NULLS_PER_SEC_NET,READ_NULL_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,201432661454,0,1211097.8963373662,1250966.5351142937,57960161,1095.3137081305763,1095.4283809337132,2738,1151014.092384152,1186978.5966247213,115.11318694655382,5797,66363.71816791146,103328.8980717339,59
1,200678068787,0,1249212.313664133,1293633.139968921,62671035,,,,1249186.7472876508,1293612.9432729988,124.9348056304524,6268,56712.532539977685,75915.94611336802,61
2,202672891561,0,1229812.7199689501,1275252.314199273,58183812,1243.0891511557672,,4172,1148412.983144057,1187946.4800688773,114.88263173707176,5821,64076.219187938965,110104.22899513647,61
3,202393175527,0,1163056.6109714927,1203917.7949982495,57324733,1002.1478235333327,,1312,1132965.3156680174,1171712.1238944556,113.34258589544773,5735,60531.908333911175,90707.21504819159,67
4,201598071584,0,1175484.401210613,1214418.5153932178,56176998,1038.2574375547815,1038.3847592234986,2708,1114688.3411846834,1149652.8694031627,111.50756034304469,5620,61833.84677509673,105636.80127454034,49
5,195053948044,0,1209072.854255344,1252789.3855150018,57405033,1056.7888573234222,,1357,1177242.4106391394,1218653.8521112027,117.75157452528747,5742,64512.2885646397,93698.15989590986,55
