SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,READ_ERRORS,READ_NULLS_PER_SEC,READ_NULLS_PER_SEC_NET,READ_NULL_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,210890371695,4383,990075.7102330044,1024589.1894350353,50372697,4383,848.1239357954444,,1564,955459.4948100103,987565.5490560383,95.59380871618495,5040,2,45476.86794155335,58877.35953710907,41
1,213418442446,9408,960897.1035868484,993595.968179125,47605868,9408,771.0929957611307,,2938,892310.0825655437,920447.529953265,89.26952390511384,4763,2,39656.697413566864,70985.63202092267,51
2,204452088132,3548,1060889.314321943,1098012.6374607598,51945121,3548,843.1488885395269,,1811,1016316.0175984424,1050348.353402254,101.65383899290183,5196,1,37234.24740368695,72899.32032104289,51
3,202285306227,0,1100255.1934074776,1143689.2010478396,55640170,,,,,1100232.5781895756,1143671.219127096,110.06088227275369,5566,,46969.01357473565,63000.91907223117,51
4,203771498743,0,1154859.6879967276,1199967.474651725,55104997,,769.6775803714226,,2483,1081751.3408880115,1121240.4501136881,108.21768167460883,5513,,39168.962150029874,70553.74020964306,43
5,203743092240,20237,987610.7028900585,1022835.5879438482,47338767,20237,892.7695693631983,,2680,929435.0346706999,960577.6567936932,92.97844717643717,4736,3,35709.29774888587,73617.10272530514,45
6,208005438117,7807,928492.4687612866,955853.0947666575,46759514,7807,1091.7626091815025,,1790,899233.2012723135,924880.713365728,89.97774028544065,4679,3,39931.76991580387,70703.10704803922,45
7,211131673812,1,1068957.7215683577,1109627.9718548926,54917076,1,846.6655535644917,,1191,1040456.5645399365,1078962.307103379,104.1049247388772,5495,1,37012.64838205008,61523.868161696664,67
8,204058265246,6276,1086565.7204411447,1128154.6715190134,52389140,6276,835.7137509546344,,2338,1026991.5984405732,1064083.9113819646,102.75406308898856,5242,1,32844.29927539589,69404.86312018729,53
9,202838996040,8203,995449.8290978584,1032086.1409151191,47516211,8203,863.4433728251676,863.4466884928501,2569,937074.7031429647,969477.1864359434,93.74757833304406,4754,2,41093.01691073211,70118.39409309602,43
