SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,READ_ERRORS,READ_NULLS_PER_SEC,READ_NULLS_PER_SEC_NET,READ_NULL_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,201861052076,2980,994594.0863696219,1030230.8519560478,49118286,2980,868.5115785659332,,937,973328.2868555894,1007439.9311769301,97.35308702601843,4913,1,39221.069558566865,64745.42996181099,45
1,203465918382,0,1038446.4251012688,1091072.4221174323,52820675,,,,,1038419.1597303479,1091054.6285646972,103.87834326171887,5284,,37528.29281450468,62112.8028223102,52
2,217638707070,29664,683258.7568113703,707578.8893373292,35213962,29664,820.7262068255793,,2356,647244.242057976,669028.3404541757,64.76722440239027,3524,8,40185.79651859142,54196.25055095993,32
3,203922168946,0,969397.7555999798,1023340.0346101136,49419111,,,,,969373.1143686794,1023319.8238019954,96.97748268235551,4944,,41369.69138210229,55527.9155440236,56
4,204287271626,6386,947204.207409724,980755.0936666043,47345084,6386,751.8799125417427,,817,927046.4013377953,959166.6526072733,92.75074207061195,4737,2,37360.72780395977,53823.798620703994,44
5,203384751883,0,1058424.8519788238,1148782.8346703034,53815114,,,,,1058391.4772717662,1148762.8572595324,105.90633575628023,5385,,34979.748685583174,67040.64946207103,58
6,214002521942,22450,800810.5628869466,834731.925374963,39511774,22450,413.9557589906543,413.98637557170673,1722,738562.0625668917,767329.4910158835,73.86752520878426,3952,4,38485.53641381188,63388.45355547817,40
7,206158031846,0,995288.6613773706,1057206.9022640507,49801540,,757.6319001218064,,1137,966302.0849404039,1024572.3996776129,96.66209288206468,4982,,38086.4371691554,65413.59466638206,57
8,196885371066,4076,957471.8342473739,996134.1506349482,45889357,4076,692.6528867085773,,895,932325.3170417955,968959.6206614017,93.27133753631946,4591,1,32952.70842746507,64347.635626563446,52
9,209505361865,14030,896605.9893544724,965966.3759870459,42087426,14030,630.8444709249407,,3428,803624.3774442837,858909.8950963162,80.39807926863261,4211,3,32718.027207657065,65606.40161024353,50
10,211327835862,31661,653688.5774440113,668413.4807326607,31579448,31661,399.8532772236369,,1808,597768.6350911768,610059.7402475036,59.81168018703254,3160,8,47161.79923737897,64490.61233332578,32
11,214641657403,3320,945298.2322525907,994061.4410900157,46145065,3320,545.2430574103822,,2641,859996.3410337513,900173.8454062897,86.04034617126202,4617,2,39941.36016603772,57586.0257910747,54
