SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,READ_ERRORS,READ_NULLS_PER_SEC,READ_NULLS_PER_SEC_NET,READ_NULL_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,211419116564,33349,583604.7250114458,597800.5602822502,27693611,33349,730.1388438109881,730.1825962885874,3942,524033.82343366207,535461.8953318432,52.44537537574791,2772,8,44532.459236981165,61991.386319170015,139
1,205665795448,7186,1009087.2775730914,1060106.440726461,48884715,7186,695.0150258271291,,2062,950804.8510158893,996000.3015440833,95.12427063018049,4891,1,45312.272111131475,67052.1733105038,232
2,204730669038,3919,917936.0268204755,965595.7560522938,46013899,3919,717.1371205984452,717.4076512097397,737,899032.1814746611,945164.6347773912,89.93124906125875,4603,2,8356.583596174192,60107.55051888696,229
3,228859682225,31430,646206.6290736188,668551.4398346372,33766547,31430,743.7081736053427,743.76445012432,3686,590238.0650305912,608851.9333813328,59.05767640762521,3379,8,36783.04536557942,67196.17368803649,191
4,202641570300,0,1006664.8737871761,1057395.6775567613,49374706,,675.715361361899,675.8655363119483,1086,974648.1124657964,1022164.4183086692,97.53139006599731,4941,,48903.14098483794,67162.1785350059,264
5,203622885318,0,1055757.0033104522,1118403.041136081,53736880,,,,,1055621.1874923217,1118287.4523587895,105.60587309378941,5376,,40810.417079159546,53308.450942706266,278
6,203130267360,0,1074171.9735765678,1133672.3788156551,52918580,,772.5543744323835,,1167,1042090.2544515806,1098073.7785146094,104.22570592737652,5293,,36321.47980946234,67316.19759365708,271
7,205434142859,16100,991501.6572387442,1036777.4409042469,46906927,16100,654.1689232875434,,2646,913378.6496667517,951684.7028468346,91.37648244029954,4693,2,45838.427885564684,62309.035011073494,217
8,211159899690,22716,736066.3345699561,764063.4884200204,36164099,22716,736.9538375008726,,2693,685110.9335266042,709318.6659984683,68.5341856778112,3618,6,47271.65466208595,69259.94170211404,197
9,206282143775,17437,876719.9472504939,918369.7043508397,41045623,17437,672.5240580799266,,3194,795977.7855474248,830191.2360813009,79.6179514068174,4106,4,45924.62334165155,94131.47788594513,184
10,217756288954,23750,670370.633749958,690169.6329199576,33192352,23750,762.8838860627561,,3755,609787.6880518029,626137.1227605698,61.00354221932933,3321,8,47925.03730141772,69405.58632833154,169
11,207717045096,14658,909210.3575877314,954279.4360133151,44856841,14658,907.0668679374647,907.2544702383146,2348,863856.0976884194,904480.8099932278,86.40468250246553,4487,3,47257.89044321403,77138.9175481395,220
