SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,166154053572,0,3017016.5056560854,3767700.7907979484,125298165,3016448.201083555,3767368.8519413164,301.66598468810594,12532,75875.41020922332,196973.24252726696,609
1,164117385380,0,3224364.179382397,3785238.6958769574,132275142,3223933.1791382455,3785168.872852434,322.4520389260506,13230,127660.08305172742,870753.6946563016,729
2,166187857582,0,3132560.8779068002,3626580.6545531913,130131187,3132161.9736457746,3626509.578143377,313.25988173014645,13015,115594.25687683432,722932.2359184043,635
3,166294488621,0,3122477.5569161917,3589638.683127895,129795912,3122088.4847439025,3589570.498461399,312.2411666257357,12981,114372.1110581094,716642.8950974634,615
4,164685513772,0,3142686.6805562736,3688731.866752413,129364514,3142113.378086198,3688412.76175085,314.2473108158573,12938,81068.44316810288,195095.12135774968,625
5,168513142225,0,2934374.097057627,3571465.057822943,123604962,2934027.9664350674,3571397.2280973443,293.451639219593,12363,117082.14486181577,732775.0256728214,606
