SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,READ_ERRORS,READ_NULLS_PER_SEC,READ_NULLS_PER_SEC_NET,READ_NULL_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,205287219843,6757,1081692.282355371,1142031.1782192257,49586878,6757,997.625684393267,,5461,966306.7002013576,1014214.7214204129,96.68220164125158,4962,1,45198.162174502344,72732.88675798304,265
1,208309622769,1199,945500.3369025729,983967.067949707,45744517,1199,819.4860031056276,819.5619388669326,3024,878457.0658213114,911619.4078736353,87.86730668537402,4576,3,37288.168039795135,67818.01369061014,224
2,205167414034,2,1014107.8868509729,1057509.5719831465,50784844,2,802.6756442941598,,969,990138.4630521068,1031525.0605376197,99.037014407754,5080,1,35574.11338470458,61145.90566401485,224
3,205563059606,0,1062844.808242611,1109468.735425045,51489979,,832.0920341625717,832.3097071410878,2445,1001983.1792481653,1043393.0979093236,100.22818231781473,5151,,37105.83544273896,64628.13335288877,258
4,204862597384,5762,1044590.1131445593,1097657.964436275,49743755,5762,958.2040136350466,958.2081440815055,3438,971333.071732016,1017130.1827775547,97.17613392882339,4977,1,35611.65125905607,72640.97393455383,261
5,204949884600,7486,994241.6303495304,1043934.5558827689,50000967,7486,980.3848359457726,,923,975890.0640044566,1023752.2119036103,97.62203044075478,5002,1,45725.885345647985,63574.55194940895,249
6,205600243228,9008,997289.5012615309,1042755.54766186,48372340,9008,977.332374129598,,2824,941154.7815408794,981596.7294647212,94.16216164807925,4840,2,36871.23712551539,63570.81073463348,249
7,206627582118,24944,812706.9194363379,840773.4991196119,39486074,24944,771.8117085376547,,2366,764440.6539577858,789264.1853172433,76.4643149254583,3950,5,34667.68842569308,70482.5462059679,191
8,202686868253,0,1124898.4326579752,1184127.4907051376,53042243,,1027.444484809549,,3610,1046858.4266403723,1098000.3869687947,104.71145014422616,5306,,49926.12463856164,72059.2277155803,261
9,215617015494,8665,996315.5738550596,1039149.0794790464,48744546,8665,832.7026852326081,832.7055671708684,4142,904361.3907429591,939547.479099245,90.47399641525826,4877,2,45044.166941253134,73123.83406082075,238
