SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,READ_NULLS_PER_SEC,READ_NULL_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,201909088491,0,1225140.0046082535,1276318.8262404893,58443614,1040.0228265726676,2880,1157882.9548845245,1203536.163062657,115.83195864606094,5847,62255.91678057473,107057.07581079907,279
1,202706627972,0,1189667.8076770282,1239948.8616261159,58669070,974.3654242871985,1323,1157745.11345735,1205336.8566142968,115.83164102437142,5870,77449.51278574833,117394.04705665588,259
2,201686377624,0,1188244.7720825998,1237785.9081609645,59906907,,,1188125.9152104727,1237693.1646269602,118.85665733738443,5993,55926.710313433316,76569.39615653966,296
3,201334632040,0,1225165.5631154538,1276528.8914108402,58372781,1090.7945998923162,2927,1159780.2803921422,1205782.3253120917,116.0041059480655,5839,50340.82884259549,121924.06781098589,276
4,200539927867,0,1242156.3484908896,1295633.2398107562,60722334,1108.9309402223835,1382,1211210.149437627,1262046.323445056,121.15191891713768,6074,68650.35048369084,120627.14607361304,283
5,194931101257,0,1208108.1193071203,1257527.4831230617,58867592,,,1207973.4966948696,1257413.9532696963,120.86256267809964,5890,54342.1773908052,69091.39449911758,309
