SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,264077853525,0,141298.40054904495,4042378.642044705,9091859,138444.02138227355,4036878.5515537714,13.844402138227354,914,1,28751.73658352338,3211613.1226027855,48141
1,242641697946,0,247570.18439560963,4180789.902729135,14919067,246948.48621334333,4176609.5293114004,24.694848621334334,1498,2,152923.32413723518,3355193.1419330174,60933
2,248202156446,0,185599.67046140076,3926503.1871421463,11306593,183016.71770479923,3925729.575982687,18.30765685881113,1136,,43926.05271029886,3757295.9793405808,49693
3,278207683429,0,123951.0534190674,4229326.080794371,8417175,121638.06399199001,4225260.19641013,12.17795196806263,847,3,26136.514476896788,3555883.354849298,42986
4,239590088511,0,211436.94285841924,4072303.7779852194,12597949,211360.99708763632,4071129.064930351,21.13609970876363,1266,1,196995.20922515253,3845892.0422199005,62051
5,243330466080,0,144648.85336719174,3565544.2379627833,8509162,140549.6013341627,3562746.3598284684,14.05496013341627,855,1,20355.076236691242,3062086.5261388295,40838
6,247937111894,0,220052.27614438033,3874898.4845998567,13269811,215033.70589713723,3874453.468595665,21.505448293635606,1333,3,35031.55143076098,3776730.7556569884,58898
7,250304461301,0,161192.7174892063,3954999.127699145,9868026,158526.93872796535,3953738.417569265,15.852693872796534,992,,38291.987066244445,3728106.1231295383,51974
8,263321714762,0,177776.64840486462,4292996.483951377,10671731,162885.0550315102,4168831.5256714174,16.299451254262692,1073,1,8801.42511226842,591767.5482554872,51062
9,252977657721,0,196524.1631021784,4062411.0987404883,9336034,148313.49273294111,4060877.5856482647,14.831349273294112,938,,2793.508234162083,3759520.4118866464,43966
10,280089317650,0,126918.58437042583,3787707.8283964284,8678948,124674.51559018785,3785000.5783311795,12.467451559018784,873,1,31123.22073302014,3374919.5719751576,51052
11,277750021973,0,156620.1024319182,4096815.2995199324,10747155,155535.54125082828,4096521.8825651845,15.553554125082828,1080,,64583.04003740691,4037710.203808284,52845
