SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,238123575201,0,189570.60269721155,4650588.349230449,9314946,157229.2872236481,4643708.0971832415,15.722928722364811,936,2,4334.694062227994,3556013.7578284307,45054
1,239766976449,0,167489.2961459718,5048678.3461101465,8925237,149645.29532544658,5040759.552236612,14.964529532544658,897,1,6727.897274086769,3839879.767319396,44763
2,236686493833,0,165541.56927021337,4631539.81722964,9065369,153979.60149646137,4430408.36237059,15.4127921877685,912,1,10398.35796063022,462201.595706305,45854
3,236944485146,0,99875.65803873379,4658976.346364709,5508930,93743.74755467895,4645456.694349481,9.386164193646424,556,1,10810.06355824696,3409230.522960117,44086
4,236238660178,0,208705.06831326894,4757923.589235545,11755850,199797.9499394213,4688838.408031171,19.97979499394213,1180,,16159.77849032132,963540.9735759855,44150
5,238235383000,0,196892.0300698619,4707022.274585057,8995631,151782.65942133372,4704547.213584954,15.178265942133374,904,2,3198.756194110197,4251320.506965826,44369
6,240725977662,0,138468.2634350216,4939179.434971454,7362245,123127.55061947287,4928943.600730472,12.312755061947287,741,1,6810.169257685349,3735486.051718158,47755
7,239753021057,0,187441.29264247874,4588255.378114124,9772883,163835.26608685107,4585794.651108432,16.383526608685106,982,2,6040.727944939696,4126736.5398360314,47117
8,235933791428,0,163096.26354562564,4973083.798576011,8281551,141255.54376203206,4963856.901797334,14.124420708517953,834,1,6115.733849737948,3800357.5726968977,50188
9,240103898036,0,158142.54656851976,4840798.709965068,8435099,141272.17541013932,4832817.691466202,14.127217541013932,848,2,6714.274953158716,3689950.020370289,44901
