SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,READ_NULLS_PER_SEC,READ_NULLS_PER_SEC_NET,READ_NULL_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,210443717761,0,549447.5318560752,1051444.6499748738,28482693,2571.3923025073636,2572.285293573357,1088,541945.4912383034,1026328.4405000319,5419.445837756514,285125,81584.08612535863,105950.99344795522,28475
1,210227395701,0,552390.6816662777,1069776.9721097252,28839462,,,,549276.9180484631,1060445.6735524004,5492.792952234831,288684,82669.90806262073,108942.39999768665,28802
2,210762778267,0,540383.3843013792,1035789.3493146267,28290943,,,,537465.0350096298,1027338.5814932853,5374.6842812003015,283196,84402.63195446742,112777.2164363337,28463
3,211045081544,0,539516.3875813292,1023248.446004888,28277396,,,,536484.4286901549,1014446.9060496859,5364.844286901549,283056,80864.09368115001,105408.56961804358,28204
4,210073348342,0,550325.230846259,1058380.867790677,28710517,,,,547222.2197974871,1049155.9629263503,5472.24034213174,287393,82366.8818997752,107892.2169315955,28684
5,210739988529,0,554316.012735471,1065838.7748732704,29001217,,,,551013.7151023931,1056361.0788783478,5510.1785648647165,290304,79052.3767950122,106580.8464044866,28939
