SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,READ_ERRORS,READ_NULLS_PER_SEC,READ_NULLS_PER_SEC_NET,READ_NULL_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,199532044238,0,1188408.385927755,1417660.7999216812,59105963,,,,,1185010.1817128058,1413365.3375663976,1185.0500766375485,59114,,40057.1891740965,45173.72649770127,5913
1,198523624248,0,1190618.0340245543,1411294.5426760376,58956550,,,,,1188015.7079208472,1408225.0430962488,1188.048541090298,58964,,50713.119484010516,60397.36801177961,5746
2,199746874278,0,1161491.7788267666,1385145.07811188,57839632,,,,,1158374.1114164921,1381316.1914536376,1158.4049467959012,57847,,41508.54871078548,48113.74332409043,5770
3,202088929084,0,1037909.3612782226,1215400.5556612902,52297272,,,,,1035238.085274033,1212224.746554541,1035.2801647318006,52305,,38984.748621574196,44989.155943514445,5267
4,211752384472,2624,874925.6350979392,992833.3491335249,46003454,2624,2414.0451246816033,2414.380929678131,641,869101.67485899,985657.2341710723,869.1270671511817,46010,6,48456.66714951674,58302.36666214357,4493
5,202033414441,0,1089509.876661894,1286283.2809309703,54878044,,,,,1086623.9161844726,1282831.3161116897,1086.6424711123016,54885,,39899.07700927262,46514.62488621372,5541
6,200867224248,0,1126785.3209282884,1335220.312076333,56407051,,,,,1123383.3336662278,1331579.6528723952,1123.4011996291435,56414,,36208.514634580555,47360.352152607746,5672
7,216033541966,2377,881552.6747798146,999856.8071483846,47054631,2377,2410.1720193884557,2410.322095681142,1315,871358.652396794,987107.6244391222,871.4004371638049,47063,6,55112.457972962395,69140.93301060691,4728
8,199367161691,0,1162829.2951160925,1379076.880407017,57782173,,,,,1159424.982727408,1374832.8505723528,1159.4675183859395,57790,,37434.23560420091,42294.406190845955,5644
9,200107978520,0,1140866.4435996783,1349848.477702149,56919053,,,,,1137880.5467131457,1346206.1202875017,1137.9184204379153,56927,,41870.25004347184,48099.84005450876,5691
10,197555875673,0,1165508.9075004256,1382067.9825829316,57414071,,,,,1162603.8011654557,1378457.7667671402,1162.646933262972,57422,,44773.12691302328,50744.43230851528,5732
11,196075852342,0,1018093.7184816628,1181632.031864091,49806519,,,,,1016166.4152935625,1179456.9495536003,1016.2178498171838,49814,,50249.342384781696,59897.21783956267,4905
