SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,READ_ERRORS,READ_NULLS_PER_SEC,READ_NULLS_PER_SEC_NET,READ_NULL_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,199485523646,0,1168467.5714704464,1419677.2698459264,58124759,,,,,1165607.347090634,1415977.9179231336,1165.6367252050547,58132,,44814.31382259915,51260.345960706254,5689
1,207054323587,1196,908943.2793921005,1060293.304807441,45901045,1196,2511.892357834273,2512.1537139880143,2954,886890.9029221043,1030752.8889918192,886.9156262124744,45910,4,52706.22955131122,64430.94519919485,4650
2,201217800901,0,1133055.253083679,1365500.5939417754,56852234,,,,,1130274.8513383127,1362002.0512405657,1130.3075971490664,56860,,43776.26959490633,50606.294536687456,5621
3,201841409266,0,1081786.9583365612,1305029.2353178526,54446931,,,,,1079112.0454027161,1301638.1652837973,1079.142847250136,54454,,41932.51927865967,48221.83788963625,5443
4,201267131404,0,1120219.8690872616,1338599.5533507844,56230276,,,,,1117634.8091754513,1335387.2037660663,1117.6566005755355,56237,,45541.18887706778,52406.71292532042,5512
5,201173204194,0,1111341.9552865291,1336370.82649133,55751539,,,,,1108636.614371984,1332986.6891140298,1108.6548835621543,55758,,42846.45701785043,49596.96049536419,5456
6,201219756579,0,1108564.3168759386,1329894.339017647,55607132,,,,,1105512.240855259,1326042.3678008767,1105.5446904417804,55615,,38970.4474536409,44509.807360893334,5594
7,201456874081,0,1116116.8505971204,1347730.7623419687,56070761,,,,,1113418.030649146,1344299.1967026663,1113.4473220556542,56078,,44678.74034739581,51332.402793156514,5668
8,199515830431,0,1110338.5739827738,1340830.5741560257,55272830,,,,,1108248.1601702734,1338243.2904137734,1108.301478677082,55281,,54990.274132969025,64865.691767634846,5433
9,212391370706,1346,917203.7015426105,1066891.336038279,47741108,1346,2448.0437361107693,2448.293236551738,2346,899250.7716538998,1043012.8869987163,899.2627931845238,47749,5,54294.48152387337,65965.26226470544,4822
