SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,43739882035,0,2824518.111471257,2888916.9313407787,27840321,2828937.304883154,2892353.428003732,261.27720613389255,3095,3091,2869332.521956209,2923647.079296175,3094025
1,36250083666,0,2819750.344687256,2894259.688678142,22774657,2792409.886075434,2865337.515386912,267.73313575762404,2533,2530,2568378.8274463746,2628997.3227635915,2531616
2,38938229230,0,2785743.379227447,2847015.396349165,24187470,2760881.0705026505,2820424.985677184,269.699240759704,2690,2687,2555675.6147817387,2601803.635940898,2688485
3,39299350778,0,2822025.9827357302,2931491.75515508,24670972,2790245.9920886382,2892725.119312865,276.32558443980315,2745,2742,2533601.2747855117,2585209.9398785844,2742742
4,28118448786,0,2667418.1749606673,2729710.4062864245,16771149,2650706.1099725347,2716103.4220519373,243.450022767998,1866,1862,2509133.5784391174,2599412.5916745253,1862287
5,50962763527,0,2880388.2706484427,2943245.2810074575,32940789,2872464.243867848,2934527.33788528,274.31050614095136,3662,3658,2802994.042097175,2858254.491446063,3656390
6,48912075820,0,2760067.249227149,2836758.6708906284,30110461,2736083.181022514,2817317.495310943,260.6757258303329,3347,3344,2537667.7588461763,2653678.8159959,3346416
7,33253658299,0,2713443.927810559,2810675.4534377377,20392558,2725901.10793091,2820626.556879212,248.36415299685385,2268,2264,2843214.6218777928,2913328.64705015,2268988
8,33376613014,0,2860349.9930638014,2929235.7095120014,21172624,2819517.6053521894,2886132.7002829257,261.93228151233194,2355,2351,2498677.0690729422,2548783.475119087,2353863
9,33910606881,0,2944259.0394526925,3010562.723734864,22316086,2924655.885635844,2989275.6992045483,277.76688135283104,2482,2478,2759219.701429341,2810330.9193184627,2478128
