SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,235461300545,0,62033.83359999614,3226555.5069608754,3249126,61326.425899190646,3268635.9542753105,6.132642589919064,361,,55616.19826869627,3703512.4959013024,360874
1,334226567206,0,3548.7784960315225,295424.1156435866,269819,3590.378855970423,325457.5734003638,0.3709950376309326,31,2,4010.695717652224,3571070.0141400457,30181
2,251835011706,0,18409.67946789517,2694800.27691509,1053446,18583.595538588484,2771653.1809907034,1.8741531986304316,118,3,20318.47668984023,3734183.59799566,116554
3,238057447989,0,44277.93920107649,2869215.2506014435,2306755,43061.521857840286,2913844.151919708,4.302892681010185,257,,34517.610721916644,3388757.4651481593,256024
4,235734923652,0,60808.8988944204,3078117.976657788,3195200,60237.15018553012,3047052.014577387,6.023715018553012,355,,55534.77271210162,2793181.030296038,354800
5,462727764746,0,1098.1198224025459,93170.25894467662,107930,1037.32699131093,102988.70790804116,0.12958840496216342,15,6,693.8470972556055,1785658.4112389074,12070
