SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,READ_ERRORS,READ_NULLS_PER_SEC,READ_NULLS_PER_SEC_NET,READ_NULL_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,201375322090,0,1057129.068181894,1151108.8753459286,53182874,,,,,1056414.290450757,1150729.6474761998,105.69214925648478,5321,,30470.52981582355,66113.71847432257,1068
1,207517226626,2510,955423.7287073818,1040025.5088773628,48628887,2510,862.5149952740529,,825,937382.2268287198,1018896.8157050607,93.77442404779329,4865,2,40982.16019258665,68929.0423283493,1028
2,204419541001,2550,980111.3210109407,1062940.515292259,48953628,2550,836.249112201057,,942,957943.1743222731,1037281.0906297718,95.81983463590157,4897,1,32019.202354881836,68488.29067233903,1006
3,202196218824,0,999987.8944043329,1087106.7051182967,50515965,,,,,999365.4143250241,1086774.6334675269,99.98044061611496,5054,,31159.388423414308,66887.41054345857,1012
4,205402212374,17772,913815.5432307248,984197.4981982373,45676355,17772,587.5888021631845,,790,889533.9241396013,956197.0126637816,88.99465777603109,4570,3,41815.69991040735,55973.45461976663,914
5,208273653107,39512,649023.2765591583,684698.6174381452,32363009,39512,815.2578454047126,,1783,621594.3210708913,654344.0816704537,62.18649998073991,3238,7,37088.59903877455,68606.85158238397,638
6,214775758078,8014,854356.702002599,918525.7447955384,45077382,8014,687.8671498318649,,624,839553.5213732773,901640.601185855,83.97411208812179,4509,3,37191.55082348392,68279.03696823455,930
7,206017752027,5123,906511.42513044,971495.3971211255,44523299,5123,780.1359961390798,,1840,864509.190337434,923741.6870889855,86.51464128215734,4456,2,29819.80605130151,67553.43198664907,921
8,204074508473,5058,970543.7316500794,1054965.5287727586,48422445,5058,635.8911057986993,,699,949145.4148259136,1029981.2874485115,94.94284651953018,4844,2,34868.18927112409,60471.70566527936,952
9,204311287199,8955,950618.585226502,1025766.0441463785,47765534,8955,926.0325721624619,,747,935184.691063584,1008044.4436779659,93.54121015410357,4778,2,37597.91980068177,67272.4837805197,916
10,204403231032,3158,991934.6360769445,1075938.963678972,48430474,3158,944.3368249868585,944.5320528358371,2125,947803.9805039592,1024494.4354329115,94.83096829316582,4846,1,36132.77284049321,70464.37245301426,950
11,204806204386,15050,895503.0673365252,960408.2640576324,45396309,15050,1065.2266016420197,,508,886647.3774288308,950470.1783782283,88.70711808812062,4542,3,29143.893063641422,48030.15528669885,904
