SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,222923573722,0,456816.06879189896,4171368.7257070336,25378476,456274.65189861145,4169690.643374116,45.64791657542809,2544,2,285144.32745441346,3464040.475458528,50118
1,232294010237,0,216756.97071528135,3331576.0198606346,12533615,216210.70620270434,3319831.3283364023,21.62775903773253,1256,3,89938.47284806905,1120080.3781388968,22498
2,231012031427,0,238639.0588738772,3348411.980581457,13613598,236178.17506289063,3334408.380982467,23.617817506289065,1364,2,37386.33380800775,1056383.4355780354,26402
3,236918258848,0,148982.17771094866,3338220.4065475403,8661675,146548.43475899156,3325764.01289797,14.654843475899154,868,,16803.238706752676,1203355.1709189538,18325
4,232899861671,0,188762.6940213156,3347240.70880008,10952669,188483.58124836974,3291274.158817022,18.857877138597217,1098,2,108103.81774282981,349844.2676217416,21781
5,237286834658,0,137850.88661496175,3179109.2766860207,8033417,135700.76083828948,3165286.1878533904,13.586928898152832,806,,15861.162701819329,1019004.426408006,16584
6,234247847844,0,171275.0732460078,3345092.3195942203,9853294,168584.73776160035,3275140.9904202353,16.87101577716839,988,,18742.34393094567,281283.7853570351,19359
7,233888784527,0,167633.70625150166,3403903.1710306555,9661497,165548.80165932103,3390577.638179412,16.589071975281318,970,1,22092.261695532834,1113887.2851406683,18505
8,245595267522,0,172027.00208364715,3439315.6650095345,10530802,171827.4151851065,3427001.78657724,17.182741518510653,1055,,105002.30333146662,1156231.7150872324,19198
9,235075913389,0,174732.58490611633,3246491.628716281,9800320,167094.9585336719,3236042.8128563003,16.70949585336719,982,1,7339.331339839545,1243312.9875081633,19680
10,237091879621,0,196455.9460930105,3109126.014833134,11487988,194186.32166397522,3097876.963706115,19.418632166397522,1151,1,27624.922701129966,1072575.1269452865,22012
11,233827522828,0,195983.6450673954,3159464.1220015744,11350204,194553.84656947874,3157646.099869576,19.467338783922543,1138,,42013.90622716267,2454702.970123864,22807
