SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,READ_NULLS_PER_SEC,READ_NULLS_PER_SEC_NET,READ_NULL_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,200051331557,0,1187231.168561875,1274132.7590574021,59349094,,,,1186701.203897551,1273683.6010527895,118.70697873367355,5937,51218.03231334944,68818.88565292954,1195
1,193215630845,0,1168653.937826893,1256819.6453963132,52529477,1145.5442668583771,,3825,1087580.3530024698,1163702.381379099,108.80956456135189,5256,66678.84580401039,112496.73176924126,1079
2,201068084471,0,1171376.574019335,1255143.313556497,58858444,,,,1170937.1809028059,1254774.281315139,117.13300837649236,5888,54607.31318582188,73708.57961724362,1080
3,202312774286,0,1115259.6023006379,1190882.4479482663,53590253,1059.8122970086363,,2660,1059626.1593296472,1127813.3863275666,105.97099119808105,5360,64501.428283800524,107275.82937184481,1064
4,202105305609,0,1129329.6040721785,1205797.4458871249,55407051,884.1474492991081,,1281,1096645.1540306828,1168749.5841960383,109.70382444607114,5543,71834.08598636385,114493.87300465457,1119
5,202149366932,0,1155769.1862076223,1233147.359161669,54639274,1156.4503830667247,1156.537168282353,3755,1081261.758655548,1148834.1919401041,108.17576605777921,5467,70644.34769173073,115038.83788327135,1066
