SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,171954809123,0,2293235.5942348707,2966141.76192094,98292706,2287626.2083407156,2962132.1631581876,2287.6675307115097,98344,389757.24188527744,802527.4119831462,49376
1,170442006291,0,2311939.1319689876,2993677.9483317886,98138824,2304292.5658211913,2987000.974882904,2304.359301372979,98190,298141.255254322,539403.6110219196,48238
2,173022596665,0,2154787.4076710436,2748928.5927373013,92898562,2148726.8782575466,2744476.8167147255,2148.755424791595,92946,321743.2962747891,642801.3768471896,46014
3,170065524058,0,2375705.1513251425,3097411.9269854445,100612927,2367632.8416962237,3090969.600384506,2367.672175993339,100665,303428.0458682274,598533.5089347649,50253
4,172205234089,0,2141240.773860952,2726934.142243368,91846203,2134500.997861827,2722565.7628410803,2134.5334036182135,91895,297715.2516237662,657632.0317913399,46858
5,173781594452,0,2175269.062063424,2773563.241748172,94220838,2169811.7639503586,2769583.9500534153,2169.869969172104,94271,363055.0526622345,720126.395304113,47499
