SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,READ_ERRORS,READ_NULLS_PER_SEC,READ_NULLS_PER_SEC_NET,READ_NULL_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,197340779311,0,1299232.9183764574,1474467.2973864689,63990386,,,,,1297117.285609765,1472269.1605166907,1297.165777022747,63996,,38038.181053815184,47031.38123345549,3148
1,206058696621,2063,997775.0411973093,1100467.7290995326,50097881,2063,2531.447480069563,2532.00429781853,3185,972607.4719797836,1070085.7169154913,972.6338456554581,50105,4,53106.86004186978,62375.35805264683,2491
2,202530123274,1659,1055980.8751546587,1166591.0948107082,52771800,1659,2146.7655600994713,2147.110228710326,1303,1042328.3834889195,1150117.8849546744,1042.3724043865907,52778,3,51021.31915893214,58943.5566138384,2621
3,198607357466,0,1224040.0114643069,1372907.6614312099,60675960,,,,,1222090.2140624425,1370888.6257951038,1222.0949115779629,60680,,37587.15318164789,45553.339944112646,3067
4,198882400009,0,1222278.3107586678,1374545.3779732788,60527888,,2517.1430338126065,2517.651853480457,333,1217429.5361934646,1368930.6864772162,1217.4717198684973,60534,,45836.73975991037,61074.77095055994,3106
5,198596573613,0,1257810.7789243166,1421957.6104154568,62351157,,,,,1255897.2164647323,1419766.63193456,1255.9313918998573,62356,,39297.473903163525,43880.86305580344,3064
6,199728830883,0,1224822.6023104235,1382921.664523299,61060917,,,,,1222937.3542124406,1380776.9892000544,1222.9761802030623,61066,,38378.26908215039,43016.81607157976,3045
7,201239357237,0,1162133.3748315996,1306648.9551325492,58386911,,,,,1160605.4958967916,1304952.2677117204,1160.6381247839297,58392,,43162.02302134205,49113.422185201176,2965
8,198835671853,0,1226054.2194822733,1383648.4063029625,60847221,,,,,1224132.3386879365,1381462.4806604064,1224.1776310268476,60853,,38208.65788480308,42794.22250840675,3073
9,199325790545,0,1207228.1150711249,1357168.5417203438,60079554,,,,,1205715.4838964143,1355470.1802183916,1205.7428407517648,60084,,46119.857731175805,51911.01160903343,2994
