SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,READ_ERRORS,READ_NULLS_PER_SEC,READ_NULLS_PER_SEC_NET,READ_NULL_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,197261421811,0,1241472.5092925292,1385201.5885755601,61127358,,,,,1239579.6286730638,1383112.9965611866,1239.6121626181146,61132,,38056.321712441655,42924.57051491621,2952
1,202148347992,0,1121394.6436339382,1243078.4594768793,56590284,,,,,1119832.5301622483,1241390.3246338668,1119.8692308656437,56595,,38278.630957355046,43488.551703061756,2790
2,200213277056,0,1212673.5535993928,1352430.4913230476,60611366,,,,,1210996.9506776724,1350618.8598642175,1211.0267377407963,60616,,42541.611859424556,48915.365891626396,3051
3,198969617415,0,1246844.084434914,1401517.0399451035,61909899,,,,,1244673.3889197793,1399359.7796199347,1244.7112895362648,61915,,35321.61198692536,44749.16426706736,3148
4,199780438868,0,1176557.00179617,1309102.083305224,58661248,,,,,1174574.5545941254,1306891.6152802354,1174.5934968004801,58666,,34678.37750977477,38505.510230391934,3007
5,197915978270,0,1242108.0528393956,1383072.3358267166,61362037,,,,,1240224.5950306214,1380992.739427966,1240.262222805965,61367,,39101.24592169987,43896.315670564785,3029
6,198568727464,0,1237828.9086224397,1385688.0737378148,61379076,,,,,1236492.186537851,1384281.368641921,1236.5272900249163,61384,,55143.8925650469,65484.75467977492,3094
7,198045777043,0,1224825.464858379,1368755.976765596,60546988,,,,,1222949.4191507713,1366657.1410303386,1222.9884107009768,60552,,38370.903757534616,42833.646479514144,3004
8,198575744224,0,1248786.4070661853,1394182.722385871,61902106,,,,,1246983.0137998918,1392210.8315777236,1247.0390195714979,61908,,40998.20400817613,46703.37004963824,3039
9,200768509970,0,1183144.1626934393,1310433.7208759673,59297774,,,,,1181475.2624076568,1308631.5267240969,1181.5185511484335,59303,,40684.4232920601,46178.88497188843,2983
10,216486899091,3127,871158.8280157313,940450.7042385511,46727280,3127,2623.9223481686286,2624.7426558035904,1156,863439.7406257225,931584.7713849174,863.4782081735948,46733,6,55974.71288969652,66500.87766270258,2412
11,212057075192,3810,911035.9000054923,986899.2527097036,47952889,3810,1969.9386810073095,,648,904585.4274200452,979476.0586314887,904.6103815302442,47958,6,48191.40210121145,56540.13812522322,2398
