SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,READ_ERRORS,READ_NULLS_PER_SEC,READ_NULLS_PER_SEC_NET,READ_NULL_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,205675487905,9459,968111.270019047,1017336.7020151567,47273318,9459,1024.105514841542,,2639,919436.9729043575,963819.0938078235,91.98754707179339,4730,2,39463.186181327874,69760.49077041876,455
1,202835779849,9206,1028346.2030721137,1087645.6148079732,50588393,9206,838.8971680262559,,1260,997657.8695861566,1053489.5311457189,99.8024740851656,5061,1,40256.99529033412,67984.53060566448,525
2,209081559355,14412,861576.5837604315,906448.1814156756,41008057,14412,920.2967729141227,,4292,784626.7863415802,821739.838534597,78.49427533328587,4103,4,39328.267280818465,71751.53038461518,399
3,204718236397,0,1079962.3613537923,1158763.9000407187,52144434,,869.6252835023374,,2509,1018912.1383182097,1088839.061036962,101.93369235841249,5217,,48974.6249187042,70539.0736153942,531
4,205362802432,0,998716.7017322623,1058844.4819269993,49789528,,797.4801077080702,,1176,969819.4689661373,1026540.5594239307,97.0362866813457,4982,,40395.96491319628,75299.98299066952,507
5,204661924246,10463,992912.8295362198,1047917.5103551293,48355147,10463,783.4898419090542,785.8714794056526,1921,945120.6555035627,995086.7078112063,94.5545699195184,4838,2,36367.115609335895,61694.11074061077,485
6,205121572051,0,987957.7278103151,1037563.5891710202,50650456,,,,,987726.4003691721,1037419.9586267547,98.80845466355663,5067,,43167.43181337779,74439.1611791534,542
7,204271133425,0,1092811.29045933,1161054.7347494648,51899392,,997.8758783687518,997.8793266555202,3558,1016363.6560827488,1075216.3261195607,101.68723921034395,5193,,46230.96831046752,72101.9441869024,489
8,206975567191,555,918155.3948040059,971263.5246392132,46511004,555,859.3604654871299,859.3679587712775,923,898896.6114454985,949858.1358377642,89.92061632193686,4653,1,37566.57813775185,73174.7594294388,482
9,204377693821,8898,1018615.9454652346,1074885.0362022773,50364861,8898,803.6783051576565,,1316,985756.9886097771,1038480.1678912758,98.62023123393789,5039,2,40491.86294891318,73980.95063337087,508
