SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,243456733811,0,16258.366731727405,3289896.410974209,817060,14129.820712498904,3234699.3115906343,1.4129820712498904,86,8,4047.33782236822,2451929.701222602,42940
1,242195622300,0,13533.261650606793,3277914.9257156486,747065,13047.304364922868,3258610.0601111157,1.3047304364922867,79,4,8030.087882140712,2955723.608003309,42935
2,243144062138,0,16221.86039430254,3885560.760227814,894791,15464.083173316223,3874160.587377148,1.5464083173316223,94,2,8035.104404456507,3661534.0275782947,45209
3,241737284031,0,13101.386734225589,3630397.710633057,749442,13072.042290318637,3603168.223858292,1.3072042290318637,79,6,12552.523617801788,3164574.801809803,40558
4,242782290213,0,14359.891910392062,3637845.202101846,782049,13510.046375797676,3605719.2322271243,1.3510046375797675,82,2,6086.840629841062,3050576.4613674767,37951
5,246038781916,0,13832.318662561001,3427642.8185558347,761251,13006.0796719946,3397536.8526708204,1.30060796719946,80,3,5983.970916598582,2897553.203674514,38749
6,241446794950,0,11201.723845499602,3725909.9903178415,652976,11431.089820726569,3655845.439226186,1.1431089820726568,69,1,17892.5402482717,2745350.2965095476,37024
7,239382388988,0,13540.729855982658,2279708.4769691625,741104,13200.636911341075,2288751.7995609795,1.3200636911341075,79,13,9560.959751505337,2435165.9659658712,48896
8,248922493385,0,14188.93855860109,4192655.572096854,814241,13658.870091508103,4162501.6043076958,1.3658870091508102,85,,7380.589557595001,3576752.3400826417,35759
9,245491954134,0,12335.200022149871,1439554.867764416,687812,11894.483508840942,1484246.3772008664,1.1894483508840943,73,6,7516.2739859885005,3005448.354684795,42188
10,243614735199,0,14643.219265151445,3687884.4598884964,787923,13628.075482741277,3631449.871029003,1.3628075482741275,83,6,5929.980473364716,2822616.668018652,42077
11,241157331198,0,14398.27267592544,4144392.191209898,799120,13932.813003479887,4114732.809396404,1.3932813003479887,84,5,8537.600100844595,3609747.049933561,40880
