SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,238358152529,0,29837.774570343707,3557761.3101689746,1587594,27187.65828331195,3533090.3320210082,271.87658283311947,16201,,5093.373523889348,2639240.6804046263,32506
1,238267862628,0,30926.78820803525,4464722.821585101,1651163,28287.490917408977,4351794.6165339565,282.8749091740898,16850,,5477.409868290942,1947758.1526431763,33837
2,238090335161,0,30743.97559210471,5699269.192633584,1646708,28224.58120971539,5551808.396993216,282.2458120971539,16800,,5585.333933623356,2435242.4614060298,33292
3,238347493961,0,31120.29935356737,6226256.505240081,1667700,28554.946758171674,5632889.088354261,285.5494675817168,17015,,5635.157847877995,987850.8519987094,33800
4,237680877919,0,30707.951024299953,5322911.478292752,1634970,28069.56982998706,5209429.066610565,280.6956982998706,16679,,5330.499867521882,2530672.2977263336,32930
5,238419516944,0,31505.61246764094,4537530.110160412,1673583,28645.305919330996,4451358.39188528,286.45305919330997,17074,,5214.870493741811,2294694.964081988,33817
6,238258399450,0,32577.02932063778,5491580.110229,1733295,29670.30760014618,5393697.968410007,296.7030760014618,17673,,5347.916173010106,2826111.315500797,34005
7,238012629480,0,31760.62158530834,4722098.012319338,1705441,29232.062244766894,4267838.586909565,292.32062244766894,17394,2,5848.502311662927,731903.0852035173,33959
8,238193873273,0,30481.781151585306,7331392.234701523,1659657,28429.86642330068,7090600.018124441,284.3062127842995,16930,,6527.789469916757,2688860.057948011,33298
9,238302819866,0,29891.974583162446,5843973.373535104,1616398,27680.746722633077,5728647.515041777,276.80746722633074,16491,,5944.675628943138,2899961.6754040406,32702
10,237948402139,0,30971.294430554353,6439119.939640647,1661251,28491.050744857468,6233638.577955048,284.91532362568125,16949,,5744.705051472336,2418191.2265735026,33599
11,238132879768,0,29994.827223247412,5965974.464686398,1624094,27841.598381791086,5776042.74514173,278.41598381791084,16575,,6200.745023171203,2267108.9110305156,33406
