SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,103513250791,0,9129884.036857713,1.0789707117542103E7,236265994,9129884.036857713,1.0789707117542103E7,91298.8969304914,2362662
1,101929862947,0,9217363.32058565,1.09116201817952E7,234881145,9217363.32058565,1.09116201817952E7,92173.6145110083,2348813
2,102343084066,0,9182485.016710617,1.0831449468530495E7,234940959,9182485.016710617,1.0831449468530495E7,91824.83842716865,2349411
3,100940397786,0,9318153.609757759,1.1006536625149041E7,235144533,9318153.609757759,1.1006536625149041E7,93181.59240601028,2351447
4,101532972671,0,9237484.723697912,1.0929632216208896E7,234477321,9237484.723697912,1.0929632216208896E7,92374.6032029251,2344775
5,102384737659,0,9272411.901487626,1.1044971423726596E7,237338365,9272411.901487626,1.1044971423726596E7,92724.19058065464,2373386
6,99696600288,0,9436656.950008754,1.112040088893639E7,235200654,9436656.950008754,1.112040088893639E7,94366.60629596561,2352009
7,101645966938,0,9293709.415703723,1.0961593675065232E7,236167020,9293709.415703723,1.0961593675065232E7,92937.12807264399,2361672
8,103228727946,0,9133162.044709016,1.0753319890073922E7,235701175,9133162.044709016,1.0753319890073922E7,91331.64463575349,2357013
9,101622860364,0,9290903.253639104,1.0946838308000283E7,236042041,9290903.253639104,1.0946838308000283E7,92909.05245709648,2360422
10,101820646669,0,9239139.278482046,1.0950705110926244E7,235183784,9239139.278482046,1.0950705110926244E7,92391.43132743303,2351840
11,100929565310,0,9328843.30877735,1.096842913855657E7,235389025,9328843.30877735,1.096842913855657E7,93288.47124356701,2353892
