SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,109031176665,0,8834960.251412416,1.021544155845656E7,240821528,8834960.251412416,1.021544155845656E7,88349.6779569702,2408218
1,107552151846,0,9087429.225957878,1.0506192175526734E7,244343142,9087429.225957878,1.0506192175526734E7,90874.32657110742,2443433
2,100972042041,0,1.0050801305849763E7,1.2014581020431696E7,253712483,1.0050801305849763E7,1.2014581020431696E7,100508.11002886895,2537128
3,99235981078,0,9609401.485641249,1.1246838476546828E7,238399596,9609401.485641249,1.1246838476546828E7,96094.09118262432,2383998
4,106757412717,0,9201759.19403459,1.0790272729510704E7,245589001,9201759.19403459,1.0790272729510704E7,92017.6991044275,2455893
5,109321794658,0,8755140.463932723,1.0130024823049115E7,239281917,8755140.463932723,1.0130024823049115E7,87551.46162450267,2392821
6,112094074538,0,8406898.365359517,9562454.472476522,235590873,8406898.365359517,9562454.472476522,84069.0573221156,2355911
7,115095194086,0,8009218.589189808,9044691.620699164,230455642,8009218.589189808,9044691.620699164,80092.26768642066,2304559
8,113270877751,0,8280634.622271384,9503035.978271306,234488688,8280634.622271384,9503035.978271306,82806.36870835339,2344888
9,113950671327,0,8156152.1417714,9307834.429298408,232349753,8156152.1417714,9307834.429298408,81561.5598045917,2323499
