SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,167603175978,0,2465465.571214714,2853921.769226237,103304965,2465465.571214714,2853921.769226237,24654.665852815444,1033052
1,168848336025,0,2646302.2764633135,3054235.4258785914,111705934,2646302.2764633135,3054235.4258785914,26463.019406430903,1117060
2,163994041365,0,2557074.2967829416,2981588.0746111893,104836237,2557074.2967829416,2981588.0746111893,25570.729483307226,1048364
3,163950615050,0,2543653.281647143,2967576.481089105,104258380,2543653.281647143,2967576.481089105,25436.558978365887,1042586
4,166232455347,0,2458819.3872658,2863687.1175922332,102183896,2458819.3872658,2863687.1175922332,24588.215790842238,1021841
5,163500044525,0,2636226.071082778,3079395.0045106374,107755770,2636226.071082778,3079395.0045106374,26362.266813267834,1077559
6,158033260067,0,2608669.6169225336,3040809.6933682533,103064141,2608669.6169225336,3040809.6933682533,26086.715053229946,1030643
7,164210374913,0,2782421.5871991687,3288626.5763358967,114225623,2782421.5871991687,3288626.5763358967,27824.200997616503,1142258
8,166978998601,0,2355535.0271315165,2714970.90755924,98331220,2355535.0271315165,2714970.90755924,23555.36889859158,983314
9,164731190924,0,2592081.7885484616,3040846.3915625964,106749180,2592081.7885484616,3040846.3915625964,25920.828286512366,1067493
