SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,229755501301,0,835556.2025784035,4207155.949869635,41295549,719725.8784387605,4186231.6950934827,71.98956604699492,4135,2,5575.814148923106,748194.6201582757,44696
1,217313865823,0,874100.2170637478,4219425.102678226,37359229,688519.3424420875,4218808.331715971,68.8957358414504,3743,,4053.3284884780674,3779406.066952117,46971
2,243595377848,0,561392.9577780492,4572709.033652157,34149520,561366.7599445493,4535882.8930450445,56.14227479332142,3419,1,538226.8869036433,538729.775850654,37067
3,231815109113,0,480826.353782877,4118691.4172651055,27814800,480517.53151992144,4118320.125686664,48.05553726883831,2785,,311769.9297742153,3827543.7906651525,33006
4,237175045044,0,585941.1625196851,4220631.581366901,29648176,500727.21595970605,4219775.504609547,50.072721595970606,2969,,4810.384190521919,3689314.616130537,41824
5,224808126263,0,1043308.5629072603,4178114.550295971,41710831,742782.5264850444,4177677.234846917,74.2855697965318,4175,,2160.929301708822,3715017.3876505555,35056
6,236498048057,0,523553.8888593994,4172623.0178165813,30571576,517747.49519492185,4172158.618660726,51.78901054746095,3062,,54626.64662012706,3845024.3292106907,39992
7,229394460811,0,786126.6502171942,4084249.901258333,44545115,777338.1073351937,4083823.5144812544,77.73509193173857,4458,,49883.772027265964,3594345.3555514235,34149
8,220461734395,0,729749.8362772433,4063385.661372529,35783147,649875.6820233442,4063127.8406003695,65.00901027608523,3583,,5761.418811887564,3815830.1291718897,35033
9,227176392681,0,650902.916184971,4108359.253402505,36494767,643321.3516389421,4105931.037432668,64.33766647769141,3654,1,57958.91448035892,2714692.6491306834,42089
10,218031235428,0,741408.008573052,4097982.471122949,40266387,739363.9525252068,4096604.518282425,73.9526970230049,4031,1,176155.345210522,2947316.338475115,34722
11,234609724933,0,707273.3789668549,4141776.983577934,33837299,577427.6920476662,4141414.4888113053,57.74696519338779,3387,,2797.17864166886,3771999.18357966,30239
