SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,222375553898,0,640781.8119197756,4672661.293793464,34480493,620845.9229440583,4672083.683272198,62.093155230709414,3452,,19478.078889120527,4161581.242773847,34746
1,226298364547,0,497570.7813440027,4809067.810686299,27367150,484299.60251541244,4806593.590859027,48.44929717014024,2741,1,20280.093213308144,3334771.9515699167,31902
2,225759994198,0,548308.4639757158,4950357.294180763,30942162,548800.5102061506,4949204.087605663,54.890148954858546,3098,,4035240.362548856,4042522.460807875,32138
3,218717231957,0,750072.7667428138,4806651.21014568,38504427,704804.0185069029,4802236.591152217,70.48369143577017,3854,1,10095.20759822991,2345721.237298663,33769
4,225222230808,0,665053.9066735808,4650974.246017825,31667175,563000.7994552552,4650392.616891578,56.31770846184085,3171,,3786.0176527313183,4150754.170168052,32899
5,223917397077,0,618717.0487031823,4706005.905877644,33697504,602533.2991594438,4705368.460227861,60.25436067673696,3373,,21056.363265724853,4116662.9892321946,31918
6,230814449058,0,535549.8559726317,4965542.8984463755,27742495,481348.7216828517,4964298.1650380185,48.14256570425566,2778,,5602.602317972689,4101631.1380106774,33065
7,234507713527,0,621883.6152278382,5180238.052399968,33363125,569604.479063844,5179026.27710774,56.97040632253847,3340,,6234.099669711987,4138378.8771467106,31036
8,226657285348,0,707087.5597411108,4905561.738472688,37096853,655262.4142302272,4904736.276719136,65.52624142302273,3713,,7892.100476563298,4127447.1813272582,33147
9,222008701907,0,669209.8732135008,4771336.683833872,34293110,618444.046655051,4770387.031696811,61.8508410503999,3433,,7487.087936182005,3929160.7322535785,31880
10,221729481618,0,600717.6851099724,4718606.058031338,31410288,567164.1456171206,4715437.626119306,56.753833861104646,3146,1,9211.514129371102,2728582.680753589,28965
11,222794441764,0,626894.215363244,4842829.731168596,34912139,627412.5283074583,4842176.301929862,62.76637559524471,3496,,4248168.583315054,4250912.538199392,33867
