SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,207791503021,0,1323092.9183526488,4409416.57329991,58919420,1135118.5999947386,4408920.933814462,113.55608798368448,5899,,6415.602961928837,3870212.686000811,47580
1,211200645434,0,1194859.0831705835,4053580.069674444,58206996,1103370.5295792879,4052844.106803959,110.35946689138747,5827,1,12518.499031831465,3358829.4887051266,51146
2,219924867582,0,1042731.3508859565,4172811.406745604,56984930,1037445.2080319179,4163150.4442288233,103.74452080319179,5704,1,166102.95783257514,1225998.2854390603,55070
3,218320435052,0,931342.5495820413,4153520.8425364294,46303126,849099.7004281657,4153017.0945192315,84.92104203322063,4635,,8394.65295289228,3650855.184078219,40828
4,222476179803,0,1034325.2096961099,4292417.340087516,47672115,857979.4932159567,4291581.515363958,85.79794932159567,4772,,5025.196262304408,3594724.3169812663,47885
5,212128467491,0,1034749.4134671489,3951982.729994955,54680764,1032061.517199659,3951151.7628195323,103.22045777179827,5474,1,275184.92912272934,3231671.1406191518,51643
6,216832826809,0,950876.397735636,4217157.5648112595,48317870,892200.2210044065,4215931.4883914795,89.22999553215216,4837,1,13760.072838490672,3241075.327919547,46704
7,219703335855,0,872437.8961896935,4166282.5532899294,47354845,863117.7094423003,4164428.2639978607,86.23583558880105,4741,2,81311.87401476578,2973370.854562833,52615
8,219476707004,0,750965.9267723522,4077125.2015728178,38369236,700035.70810455,4076770.486612486,70.02108867501137,3842,,10896.98542619983,3770849.264958407,41147
9,216644324914,0,819892.2107423368,4324077.392160273,41583391,768551.2005269254,4323403.150401886,76.86330606895275,4163,,12249.04646339256,3747270.327306599,42173
