SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,READ_ERRORS,READ_NULLS_PER_SEC,READ_NULLS_PER_SEC_NET,READ_NULL_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,198070510261,0,1311903.7175864943,1381466.0222427328,64940790,,,,,1311480.6825998658,1381039.890058937,1311.5103370522104,64943,,37831.056143492104,41590.57955987839,622
1,210091829105,1641,1058291.4552943744,1108529.1904420776,54524826,1641,2820.7188647758708,2821.0136685546336,2791,1038177.9668879522,1086512.4102887197,1038.2108693384337,54530,5,46925.274788857736,53703.340398119646,560
2,197532829212,0,1336130.6378229372,1407905.197889678,65960583,,,,,1335700.8708503407,1407471.6600309955,1335.7158061932178,65962,,37330.16781669847,41037.458571718504,610
3,197890344267,0,1292897.4725473875,1359641.0235958728,63941631,,,,,1292478.3215036923,1359218.2623450456,1292.5122429394592,63944,,37181.3102996529,40718.6847864814,614
4,198726514356,0,1277289.2161560224,1353758.3624761146,63436752,,,,,1276877.8681712872,1353340.5604743324,1276.929344874729,63440,,37609.367814127465,41542.10526042486,620
5,198958347938,0,1297285.5906301579,1366783.7279642834,64505349,,,,,1296873.9571581394,1366370.4245162276,1296.9129349787665,64508,,38487.31510199669,42487.28940307106,626
6,204706158425,3244,1056146.79885827,1100171.8024512948,53517834,3244,2749.8078472081183,2749.85627710611,1362,1045785.61606115,1088957.1299687263,1045.8297971955233,53522,5,57935.616490192195,66826.73680808191,493
7,198161783490,0,1331287.6657566095,1405886.4124537995,65930430,,,,,1330853.242009242,1405445.475078535,1330.887031172531,65933,,38037.569671509984,41745.526885182735,633
8,194007041250,0,1346162.3690649173,1422588.3299406536,65270759,,,,,1345752.4959806066,1422173.1196580047,1345.784210004103,65273,,39821.91128713141,43844.769546899035,606
9,197106111675,0,1308862.535803471,1380918.981125684,64473281,,,,,1308411.2806468105,1380467.3201353042,1308.4507953427033,64476,,39059.80591644991,43370.5361438413,684
