SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,READ_NULLS_PER_SEC,READ_NULL_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,238366742132,0,23031.595199210533,26083.170402968834,1372481,,,23031.6022734406,26083.206924346814,23.056851769138724,1374,23949.436208499435,31604.631802448064,11
1,238222091752,0,23439.27172225669,24957.864465759056,1395920,,,23439.068807324926,24957.652130294256,23.4738145132783,1398,7776.495736050182,8376.855168013537,6
2,238769268019,0,20665.92652771658,23799.10438235002,1233579,,,20665.84213680024,23799.000578215073,20.68936780798408,1235,14894.370271753514,16832.368385445698,13
3,239396265036,0,20628.182596996914,23742.839682520018,1234559,,,20628.10795839855,23742.762866352863,20.651877423584843,1236,15638.369409562192,18472.526569925605,14
4,239198783537,0,22289.823042171585,25515.355620878847,1170067,22.449220560096872,164,19569.38045747182,22012.098930258322,19.598705381781837,1172,12104.134898566088,13572.361469309923,12
5,238291881043,0,23629.712335984732,26532.933847701475,1407660,,,23629.374090944948,26532.540745167258,23.668408787517762,1410,8819.727525542758,9690.661957004955,12
