SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,112906824208,0,7599827.7378257625,9271185.726676421,213308722,7557738.533394495,9269536.48527441,7557.8049036544235,213332,134114.429545669,3336811.980408933,21342
1,109950735549,0,7849735.385372993,9802324.397433793,215560256,7842836.081944182,9799639.87471532,7842.8934713094295,215583,787361.0875168532,2584185.087933244,21143
2,112324688970,0,7753922.189419924,9728169.86841181,217570954,7748715.691814303,9726430.040930098,7748.785493761098,217595,1016803.2426742911,3519725.1596465567,22066
3,105970312704,0,8497884.908250663,9580205.228417091,224991992,8493499.292713005,9578365.872356104,8493.582995923678,225017,1389022.9436279214,3299694.914121014,22702
4,109172697099,0,8207206.240145925,1.0063357869628765E7,222835896,8165352.250953644,1.0061580327886181E7,8165.447102371525,222861,158434.9127697997,3658157.1996502415,22486
5,111058663104,0,7679269.7555537205,9456411.340998828,212563652,7656664.291048659,9455094.398684513,7656.745105606661,212587,249458.4757586391,3931819.7857780466,21073
6,111176239319,0,7888380.760973417,9614869.119056739,218873217,7875610.556385886,9612933.34776946,7875.636361367738,218896,459895.8819498715,3198587.346387584,21974
7,111183821321,0,7777529.1041019345,9992438.20754363,215988988,7771295.551224257,9990759.147907382,7771.345968336955,216012,861954.4917883029,3727122.222332005,21596
8,111118299297,0,8029963.950039689,9737549.535436213,222894778,8024476.019172419,9735373.607955912,8024.526314093322,222918,1002740.7124506411,2959459.425908541,21754
9,111616883223,0,7703754.582041118,9671657.689134117,214789105,7698161.561126106,9669850.165261665,7698.222272833091,214813,955381.3454149689,3432949.7296212213,22095
10,112155149773,0,7907658.639203939,9918358.859699039,221508444,7900868.197256185,9917202.58831277,7900.944406525175,221533,829740.7871379472,4597781.4159714505,22320
11,113281779519,0,7707727.30105399,9567490.999322752,217869829,7693801.065808803,9565110.42559009,7693.8758263237905,217894,407932.6218576897,2764781.624588944,22040
